example_id	word_id	english	turkish	explain	example_en	example_tr	mp3_url	sound
2011505	""	""	""	""	I want you to relax.	Sakinleşmeni istiyorum.	https://audio.tatoeba.org/sentences/eng/2011505.mp3	[sound:2011505.mp3]
5193367	""	""	""	""	I want you to decide.	Karar vermeni istiyorum.	https://audio.tatoeba.org/sentences/eng/5193367.mp3	[sound:5193367.mp3]
2011574	""	""	""	""	I want you to listen.	Dinlemeni istiyorum.	https://audio.tatoeba.org/sentences/eng/2011574.mp3	[sound:2011574.mp3]
4980174	""	""	""	""	I want you to suffer.	Acı çekmeni istiyorum.	https://audio.tatoeba.org/sentences/eng/4980174.mp3	[sound:4980174.mp3]
2011575	""	""	""	""	I want you to try it.	Bunu denemeni istiyorum.	https://audio.tatoeba.org/sentences/eng/2011575.mp3	[sound:2011575.mp3]
2033083	""	""	""	""	I want you to use it.	Bunu kullanmanı istiyorum.	https://audio.tatoeba.org/sentences/eng/2033083.mp3	[sound:2033083.mp3]
437079	""	""	""	""	I want you to be here.	Ben burada olmanı istiyorum.	https://audio.tatoeba.org/sentences/eng/437079.mp3	[sound:437079.mp3]
2011685	""	""	""	""	I want you to be safe.	Güvende olmanızı istiyorum.	https://audio.tatoeba.org/sentences/eng/2011685.mp3	[sound:2011685.mp3]
2011686	""	""	""	""	I want you to do this.	Bunu yapmanı istiyorum.	https://audio.tatoeba.org/sentences/eng/2011686.mp3	[sound:2011686.mp3]
2011687	""	""	""	""	I want you to drop it.	Bunu boşvermeni istiyorum.	https://audio.tatoeba.org/sentences/eng/2011687.mp3	[sound:2011687.mp3]
2011688	""	""	""	""	I want you to go back.	Geri dönmeni istiyorum.	https://audio.tatoeba.org/sentences/eng/2011688.mp3	[sound:2011688.mp3]
2011689	""	""	""	""	I want you to go home.	Eve gitmeni istiyorum.	https://audio.tatoeba.org/sentences/eng/2011689.mp3	[sound:2011689.mp3]
2011690	""	""	""	""	I want you to grow up.	Büyümeni istiyorum.	https://audio.tatoeba.org/sentences/eng/2011690.mp3	[sound:2011690.mp3]
2011691	""	""	""	""	I want you to have it.	Buna sahip ol istiyorum.	https://audio.tatoeba.org/sentences/eng/2011691.mp3	[sound:2011691.mp3]
2011692	""	""	""	""	I want you to help me.	Bana yardım etmeni istiyorum.	https://audio.tatoeba.org/sentences/eng/2011692.mp3	[sound:2011692.mp3]
2011693	""	""	""	""	I want you to join us.	Bize katılmanı istiyorum.	https://audio.tatoeba.org/sentences/eng/2011693.mp3	[sound:2011693.mp3]
1887903	""	""	""	""	I want you to love me.	Beni sevmeni istiyorum.	https://audio.tatoeba.org/sentences/eng/1887903.mp3	[sound:1887903.mp3]
2889408	""	""	""	""	I want you to read it.	Onu okumanı istiyorum.	https://audio.tatoeba.org/sentences/eng/2889408.mp3	[sound:2889408.mp3]
257087	""	""	""	""	I want you to see her.	Ben onu görmeni istiyorum.	https://audio.tatoeba.org/sentences/eng/257087.mp3	[sound:257087.mp3]
5891154	""	""	""	""	I want you to succeed.	Başarılı olmanı istiyorum.	https://audio.tatoeba.org/sentences/eng/5891154.mp3	[sound:5891154.mp3]
2011694	""	""	""	""	I want you to take it.	Onu almanı istiyorum.	https://audio.tatoeba.org/sentences/eng/2011694.mp3	[sound:2011694.mp3]
1887900	""	""	""	""	I want you to be happy.	Mutlu olmanı istiyorum.	https://audio.tatoeba.org/sentences/eng/1887900.mp3	[sound:1887900.mp3]
2011789	""	""	""	""	I want you to be quiet.	Sessiz olmanı istiyorum.	https://audio.tatoeba.org/sentences/eng/2011789.mp3	[sound:2011789.mp3]
2011790	""	""	""	""	I want you to call Tom.	Tom'u aramanı istiyorum.	https://audio.tatoeba.org/sentences/eng/2011790.mp3	[sound:2011790.mp3]
2011791	""	""	""	""	I want you to find Tom.	Tom'u bulmanı istiyorum.	https://audio.tatoeba.org/sentences/eng/2011791.mp3	[sound:2011791.mp3]
2012076	""	""	""	""	I want you to find out.	Öğrenmeni istiyorum.	https://audio.tatoeba.org/sentences/eng/2012076.mp3	[sound:2012076.mp3]
3594669	""	""	""	""	I want you to get well.	İyileşmeni istiyorum.	https://audio.tatoeba.org/sentences/eng/3594669.mp3	[sound:3594669.mp3]
2011792	""	""	""	""	I want you to go there.	Oraya gitmeni istemiyorum.	https://audio.tatoeba.org/sentences/eng/2011792.mp3	[sound:2011792.mp3]
2011793	""	""	""	""	I want you to have fun.	Eğlenmeni istiyorum.	https://audio.tatoeba.org/sentences/eng/2011793.mp3	[sound:2011793.mp3]
2011794	""	""	""	""	I want you to lie down.	Uzanmanı istiyorum.	https://audio.tatoeba.org/sentences/eng/2011794.mp3	[sound:2011794.mp3]
2011795	""	""	""	""	I want you to like Tom.	Tom'u sevmeni istiyorum.	https://audio.tatoeba.org/sentences/eng/2011795.mp3	[sound:2011795.mp3]
2011796	""	""	""	""	I want you to marry me.	Benimle evlenmeni istiyorum.	https://audio.tatoeba.org/sentences/eng/2011796.mp3	[sound:2011796.mp3]
1887904	""	""	""	""	I want you to meet Tom.	Tom'la tanışmanı istiyorum.	https://audio.tatoeba.org/sentences/eng/1887904.mp3	[sound:1887904.mp3]
2011797	""	""	""	""	I want you to see this.	Bunu görmeni istiyorum.	https://audio.tatoeba.org/sentences/eng/2011797.mp3	[sound:2011797.mp3]
2011798	""	""	""	""	I want you to sit down.	Oturmanı istiyorum.	https://audio.tatoeba.org/sentences/eng/2011798.mp3	[sound:2011798.mp3]
2011799	""	""	""	""	I want you to stand up.	Ayağa kalkmanızı istiyorum.	https://audio.tatoeba.org/sentences/eng/2011799.mp3	[sound:2011799.mp3]
2012077	""	""	""	""	I want you to trust me.	Bana güvenmeni istiyorum.	https://audio.tatoeba.org/sentences/eng/2012077.mp3	[sound:2012077.mp3]
3819797	""	""	""	""	I want you to try this.	Bunu denemeni istiyorum.	https://audio.tatoeba.org/sentences/eng/3819797.mp3	[sound:3819797.mp3]
2011790	""	""	""	""	I want you to call Tom.	Tom'u aramanı istiyorum.	https://audio.tatoeba.org/sentences/eng/2011790.mp3	[sound:2011790.mp3]
2011791	""	""	""	""	I want you to find Tom.	Tom'u bulmanı istiyorum.	https://audio.tatoeba.org/sentences/eng/2011791.mp3	[sound:2011791.mp3]
6440607	""	""	""	""	I want Tom to go.	Tom'un gitmesini istiyorum.	https://audio.tatoeba.org/sentences/eng/6440607.mp3	[sound:6440607.mp3]
2011371	""	""	""	""	I want Tom to win.	Tom'un kazanmasını istiyorum.	https://audio.tatoeba.org/sentences/eng/2011371.mp3	[sound:2011371.mp3]
6351578	""	""	""	""	I want Tom to help.	Tom'un yardım etmesini istiyorum.	https://audio.tatoeba.org/sentences/eng/6351578.mp3	[sound:6351578.mp3]
2011428	""	""	""	""	I want Tom to live.	Tom'un yaşamasını istiyorum.	https://audio.tatoeba.org/sentences/eng/2011428.mp3	[sound:2011428.mp3]
2548850	""	""	""	""	I want Tom to lose.	Tom'un kaybetmesini istiyorum.	https://audio.tatoeba.org/sentences/eng/2548850.mp3	[sound:2548850.mp3]
5859535	""	""	""	""	I want Tom to stay.	Tom'un kalmasını istiyorum.	https://audio.tatoeba.org/sentences/eng/5859535.mp3	[sound:5859535.mp3]
2011429	""	""	""	""	I want Tom to stop.	Tom'un durmasını istiyorum.	https://audio.tatoeba.org/sentences/eng/2011429.mp3	[sound:2011429.mp3]
5859327	""	""	""	""	I want Tom to wait.	Tom'un beklemesini istiyorum.	https://audio.tatoeba.org/sentences/eng/5859327.mp3	[sound:5859327.mp3]
5902927	""	""	""	""	I want Tom to do it.	Tom'un bunu yapmasını istiyorum.	https://audio.tatoeba.org/sentences/eng/5902927.mp3	[sound:5902927.mp3]
5175130	""	""	""	""	I want Tom to go away.	Tom'un gitmesini istiyorum.	https://audio.tatoeba.org/sentences/eng/5175130.mp3	[sound:5175130.mp3]
2011682	""	""	""	""	I want Tom to go home.	Tom'un eve gitmesini istiyorum.	https://audio.tatoeba.org/sentences/eng/2011682.mp3	[sound:2011682.mp3]
2011683	""	""	""	""	I want Tom to help us.	Tom'un bize yardım etmesini istiyorum.	https://audio.tatoeba.org/sentences/eng/2011683.mp3	[sound:2011683.mp3]
1887854	""	""	""	""	I told you to leave.	Sana gitmeni söyledim.	https://audio.tatoeba.org/sentences/eng/1887854.mp3	[sound:1887854.mp3]
2548417	""	""	""	""	I told Tom to do it.	Ben Tom'un onu yapmasını anlattım.	https://audio.tatoeba.org/sentences/eng/2548417.mp3	[sound:2548417.mp3]
6351416	""	""	""	""	I told Tom to smile.	Tom'a gülmesini söyledim.	https://audio.tatoeba.org/sentences/eng/6351416.mp3	[sound:6351416.mp3]
2548416	""	""	""	""	I told Tom to leave.	Tom'a gitmesini söyledim.	https://audio.tatoeba.org/sentences/eng/2548416.mp3	[sound:2548416.mp3]
5166570	""	""	""	""	I told you to call me.	Sana beni aramanı söyledim.	https://audio.tatoeba.org/sentences/eng/5166570.mp3	[sound:5166570.mp3]
5889784	""	""	""	""	I told you to get out.	Sana dışarı çıkmanı söyledim.	https://audio.tatoeba.org/sentences/eng/5889784.mp3	[sound:5889784.mp3]
2547389	""	""	""	""	I told you to go away.	Sana gitmeni söyledim.	https://audio.tatoeba.org/sentences/eng/2547389.mp3	[sound:2547389.mp3]
6665110	""	""	""	""	I told Tom to buy that car.	Tom'a o arabayı satın almasını söyledim.	https://audio.tatoeba.org/sentences/eng/6665110.mp3	[sound:6665110.mp3]
5259227	""	""	""	""	I told Tom to keep working.	Tom'a çalışmaya devam etmesini söyledim.	https://audio.tatoeba.org/sentences/eng/5259227.mp3	[sound:5259227.mp3]
6665098	""	""	""	""	I told Tom to learn karate.	Tom'a karate öğrenmesini söyledim.	https://audio.tatoeba.org/sentences/eng/6665098.mp3	[sound:6665098.mp3]
2544408	""	""	""	""	I told Tom to meet me here.	Tom'a beni burada karşılamasını söyledim.	https://audio.tatoeba.org/sentences/eng/2544408.mp3	[sound:2544408.mp3]
6665086	""	""	""	""	I told Tom to stay at home.	Tom'a evde kalmasını söyledim.	https://audio.tatoeba.org/sentences/eng/6665086.mp3	[sound:6665086.mp3]
6657084	""	""	""	""	I told Tom to drink more milk.	Tom'a daha fazla süt içmesini söyledim.	https://audio.tatoeba.org/sentences/eng/6657084.mp3	[sound:6657084.mp3]
6663718	""	""	""	""	I told Tom to go see a doctor.	Tom'a bir doktora gitmesini söyledim.	https://audio.tatoeba.org/sentences/eng/6663718.mp3	[sound:6663718.mp3]
5239515	""	""	""	""	I told Tom to leave you alone.	Tom'a seni yalnız bırakmasını söyledim.	https://audio.tatoeba.org/sentences/eng/5239515.mp3	[sound:5239515.mp3]
2291912	""	""	""	""	I asked Tom to come.	Tom'un gelmesini istedim.	https://audio.tatoeba.org/sentences/eng/2291912.mp3	[sound:2291912.mp3]
2291915	""	""	""	""	I asked Tom to help.	Tom'un yardım etmesini istedim.	https://audio.tatoeba.org/sentences/eng/2291915.mp3	[sound:2291915.mp3]
5707240	""	""	""	""	I asked Tom to sing.	Tom'un şarkı söylemesini istedim.	https://audio.tatoeba.org/sentences/eng/5707240.mp3	[sound:5707240.mp3]
4699969	""	""	""	""	I asked Tom to stay.	Tom'dan kalmasını rica ettim.	https://audio.tatoeba.org/sentences/eng/4699969.mp3	[sound:4699969.mp3]
2291925	""	""	""	""	I asked Tom to stop.	Tom'un durmasını istedim.	https://audio.tatoeba.org/sentences/eng/2291925.mp3	[sound:2291925.mp3]
2291910	""	""	""	""	I asked Tom to come see me.	Tom'un beni görmeye gelmesini istedim.	https://audio.tatoeba.org/sentences/eng/2291910.mp3	[sound:2291910.mp3]
2299520	""	""	""	""	I asked Tom to describe it.	Tom'un onu betimlemesini istedim.	https://audio.tatoeba.org/sentences/eng/2299520.mp3	[sound:2299520.mp3]
6357300	""	""	""	""	I advise you to wait.	Beklemenizi tavsiye ederim.	https://audio.tatoeba.org/sentences/eng/6357300.mp3	[sound:6357300.mp3]
6270993	""	""	""	""	I advise you to do that.	Bunu yapmanı tavsiye ederim.	https://audio.tatoeba.org/sentences/eng/6270993.mp3	[sound:6270993.mp3]
1779892	""	""	""	""	I beg you to help me.	Bana yardım etmeni rica ediyorum.	https://audio.tatoeba.org/sentences/eng/1779892.mp3	[sound:1779892.mp3]
5938419	""	""	""	""	I begged Tom to come.	Tom'a gelmesini rica etim.	https://audio.tatoeba.org/sentences/eng/5938419.mp3	[sound:5938419.mp3]
6357255	""	""	""	""	I expect you to wait.	Beklemenizi umuyorum.	https://audio.tatoeba.org/sentences/eng/6357255.mp3	[sound:6357255.mp3]
6351269	""	""	""	""	I expect Tom to wait.	Tom'un beklemesini ümit ediyorum.	https://audio.tatoeba.org/sentences/eng/6351269.mp3	[sound:6351269.mp3]
282984	""	""	""	""	I expect him to come.	Onun gelmesini bekliyorum.	https://audio.tatoeba.org/sentences/eng/282984.mp3	[sound:282984.mp3]
6229350	""	""	""	""	I expect Tom to participate.	Tom'un katılmasını bekliyorum.	https://audio.tatoeba.org/sentences/eng/6229350.mp3	[sound:6229350.mp3]
17525	""	""	""	""	I expect you to work harder.	Daha çok çalışmanı bekliyorum.	https://audio.tatoeba.org/sentences/eng/17525.mp3	[sound:17525.mp3]
1346632	""	""	""	""	I forbid you to leave.	Senin gitmeni yasaklıyorum.	https://audio.tatoeba.org/sentences/eng/1346632.mp3	[sound:1346632.mp3]
17272	""	""	""	""	I forbid you to smoke.	Senin sigara içmeni yasaklıyorum.	https://audio.tatoeba.org/sentences/eng/17272.mp3	[sound:17272.mp3]
4134463	""	""	""	""	I forbid you to talk to Tom.	Tom'la konuşmanı yasaklıyorum.	https://audio.tatoeba.org/sentences/eng/4134463.mp3	[sound:4134463.mp3]
6537535	""	""	""	""	I allow Tom to do that.	Tom'un bunu yapmasına izin veriyorum.	https://audio.tatoeba.org/sentences/eng/6537535.mp3	[sound:6537535.mp3]
6350867	""	""	""	""	I dared Tom to do that.	Tom'u bunu yapması için cesaretlendirdim.	https://audio.tatoeba.org/sentences/eng/6350867.mp3	[sound:6350867.mp3]
2389582	""	""	""	""	I ordered Tom to do it.	Tom'a bunu yapmasını emrettim.	https://audio.tatoeba.org/sentences/eng/2389582.mp3	[sound:2389582.mp3]
3200128	""	""	""	""	Do what I tell you to do.	Sana yapmanı söylediğimi yap.	https://audio.tatoeba.org/sentences/eng/3200128.mp3	[sound:3200128.mp3]
17465	""	""	""	""	I ordered you to get out.	Sana çıkmanı emrettim.	https://audio.tatoeba.org/sentences/eng/17465.mp3	[sound:17465.mp3]
6439943	""	""	""	""	I persuaded Tom to drive.	Tom'u araba kullanmaya ikna ettim.	https://audio.tatoeba.org/sentences/eng/6439943.mp3	[sound:6439943.mp3]
2389859	""	""	""	""	I persuaded Tom to help me.	Tom'u bana yardım etmesi için ikna ettim.	https://audio.tatoeba.org/sentences/eng/2389859.mp3	[sound:2389859.mp3]
3328469	""	""	""	""	Can I trust you to do that?	Onu yapmak için sana güvenebilir miyim?	https://audio.tatoeba.org/sentences/eng/3328469.mp3	[sound:3328469.mp3]
3342245	""	""	""	""	I got Tom to help.	Tom'a yardım ettirdim.	https://audio.tatoeba.org/sentences/eng/3342245.mp3	[sound:3342245.mp3]
6552418	""	""	""	""	I got Tom to swim.	Tom'u yüzdürdüm.	https://audio.tatoeba.org/sentences/eng/6552418.mp3	[sound:6552418.mp3]
3342242	""	""	""	""	I got Tom to do it.	Onu Tom'a yaptırdım.	https://audio.tatoeba.org/sentences/eng/3342242.mp3	[sound:3342242.mp3]
6351603	""	""	""	""	I got Tom to laugh.	Tom'u güldürdüm.	https://audio.tatoeba.org/sentences/eng/6351603.mp3	[sound:6351603.mp3]
6351599	""	""	""	""	I got Tom to leave.	Tom'u gönderdim.	https://audio.tatoeba.org/sentences/eng/6351599.mp3	[sound:6351599.mp3]
6663839	""	""	""	""	I got Tom to smile.	Tom'u güldürdüm.	https://audio.tatoeba.org/sentences/eng/6663839.mp3	[sound:6663839.mp3]
308879	""	""	""	""	I got her to wash dishes.	Ona bulaşıkları yıkattım.	https://audio.tatoeba.org/sentences/eng/308879.mp3	[sound:308879.mp3]
260368	""	""	""	""	I got him to stop smoking.	Ona sigara içmeyi bıraktırdım.	https://audio.tatoeba.org/sentences/eng/260368.mp3	[sound:260368.mp3]
5165775	""	""	""	""	I got Tom to take my picture.	Tom'a fotoğrafımı çektirdim.	https://audio.tatoeba.org/sentences/eng/5165775.mp3	[sound:5165775.mp3]
1887592	""	""	""	""	I need you to come with me.	Benimle gelmene ihtiyacım var.	https://audio.tatoeba.org/sentences/eng/1887592.mp3	[sound:1887592.mp3]
3286898	""	""	""	""	I need you to do something.	Bir şey yapmana ihtiyacım var.	https://audio.tatoeba.org/sentences/eng/3286898.mp3	[sound:3286898.mp3]
2387822	""	""	""	""	I need you to stay with me.	Benimle kalmana ihtiyacım var.	https://audio.tatoeba.org/sentences/eng/2387822.mp3	[sound:2387822.mp3]
3726754	""	""	""	""	I need you to open the door.	Kapıyı açmana ihtiyacım var.	https://audio.tatoeba.org/sentences/eng/3726754.mp3	[sound:3726754.mp3]
5840398	""	""	""	""	I pressured Tom to do that.	Onu yapması için Tom'a baskı yaptım.	https://audio.tatoeba.org/sentences/eng/5840398.mp3	[sound:5840398.mp3]
6349368	""	""	""	""	I encouraged Tom to do that.	Tom'u bunu yapmaya teşvik ettim.	https://audio.tatoeba.org/sentences/eng/6349368.mp3	[sound:6349368.mp3]
5175082	""	""	""	""	I want you to call home now.	Ben şimdi evi aramanı istiyorum.	https://audio.tatoeba.org/sentences/eng/5175082.mp3	[sound:5175082.mp3]
2013011	""	""	""	""	I want you to get me a soda.	Bana bir soda almanı istiyorum.	https://audio.tatoeba.org/sentences/eng/2013011.mp3	[sound:2013011.mp3]
2013007	""	""	""	""	I want you to come home now.	Şimdi eve gelmeni istiyorum.	https://audio.tatoeba.org/sentences/eng/2013007.mp3	[sound:2013007.mp3]
5193365	""	""	""	""	I want you to know all this.	Bunun hepsini bilmeni istiyorum.	https://audio.tatoeba.org/sentences/eng/5193365.mp3	[sound:5193365.mp3]
2033400	""	""	""	""	I want you to know who I am.	Benim kim olduğumu bilmeni istiyorum.	https://audio.tatoeba.org/sentences/eng/2033400.mp3	[sound:2033400.mp3]
5193364	""	""	""	""	I want you to make a choice.	Bir seçim yapmanı istiyorum.	https://audio.tatoeba.org/sentences/eng/5193364.mp3	[sound:5193364.mp3]
2013014	""	""	""	""	I want you to meet everyone.	Herkesle buluşmanı istiyorum.	https://audio.tatoeba.org/sentences/eng/2013014.mp3	[sound:2013014.mp3]
5193363	""	""	""	""	I want you to pay attention.	Dikkat etmeni istiyorum.	https://audio.tatoeba.org/sentences/eng/5193363.mp3	[sound:5193363.mp3]
2013022	""	""	""	""	I want your friends to come.	Arkadaşlarının gelmesini istiyorum.	https://audio.tatoeba.org/sentences/eng/2013022.mp3	[sound:2013022.mp3]
1384737	""	""	""	""	What can I get you to drink?	Size ne içirebilirim?	https://audio.tatoeba.org/sentences/eng/1384737.mp3	[sound:1384737.mp3]
6810468	""	""	""	""	I convinced Tom to try again.	Tom'u tekrar denemeye ikna ettim.	https://audio.tatoeba.org/sentences/eng/6810468.mp3	[sound:6810468.mp3]
2033428	""	""	""	""	I want you to be nice to Tom.	Tom'a karşı kibar olmanı istiyorum.	https://audio.tatoeba.org/sentences/eng/2033428.mp3	[sound:2033428.mp3]
2013604	""	""	""	""	I want you to bring it to me.	Onu bana getirmeni istiyorum.	https://audio.tatoeba.org/sentences/eng/2013604.mp3	[sound:2013604.mp3]
2033429	""	""	""	""	I want you to come to Boston.	Boston'a gelmeni istiyorum.	https://audio.tatoeba.org/sentences/eng/2033429.mp3	[sound:2033429.mp3]
2013605	""	""	""	""	I want you to get in the car.	Arabaya binmeni istiyorum.	https://audio.tatoeba.org/sentences/eng/2013605.mp3	[sound:2013605.mp3]
2013606	""	""	""	""	I want you to get me a knife.	Bana bir bıçak satın almanı istiyorum.	https://audio.tatoeba.org/sentences/eng/2013606.mp3	[sound:2013606.mp3]
2013608	""	""	""	""	I want you to have something.	Bir şeye sahip olmanı istiyorum.	https://audio.tatoeba.org/sentences/eng/2013608.mp3	[sound:2013608.mp3]
4016217	""	""	""	""	Just do what I ask you to do.	Sadece yapmanı istediğim şeyi yap.	https://audio.tatoeba.org/sentences/eng/4016217.mp3	[sound:4016217.mp3]
